Sizing item,Answer complete,Example for reference,,Application 1: Aksara SSO,,,Application 2: OFM (Office Facility Management),,,
"Estimated number of maximum writes per second on the database? (ideally break down into inserts and updates)",TRUE,"10 inserts, 20 updates per second",,,15 writes/sec total (10 inserts + 5 updates),2 inserts/sec + 1 update/sec,0.5 inserts/sec + 0.2 updates/sec,80 writes/sec total (50 inserts + 30 updates),10 inserts/sec + 5 updates/sec,1 insert/sec + 0.5 updates/sec
Estimated number of maximum reads per second on the database?,TRUE,20 reads per second,,,40 reads/sec,5 reads/sec,2 reads/sec,120 reads/sec,15 reads/sec,3 reads/sec
Are there any activity peaks for reads and writes?,TRUE,"Yes, during black friday we peak at twice the average",,,"Yes, during: Employee onboarding periods (Jan, Jul): 3x normal writes | Organizational restructuring: 5x normal writes | Business hours (8 AM - 5 PM): 2x normal activity | Month-end reporting: 3x normal reads",,"Minimal peaks (testing)","Yes, during: Morning commute (6-9 AM): 5x normal booking requests | End of day (4-7 PM): 4x normal booking requests | GPS tracking during active trips: Continuous writes (every 30 sec per vehicle) | Meeting room bookings: Peak at 10 AM - 2 PM (3x normal) | Monday mornings: 2x normal activity",,"Sporadic testing peaks"
,,,,,,,,,,
Additional Details,,,,,,,,,,
Number of concurrent users (peak),FALSE,1000,,,200 (SSO admins + HR staff),20,5,"1,200 (all employees + drivers + admins)",100,10
Geographic distribution,FALSE,"Asia Pacific, Europe, Americas",,,Indonesia (Jakarta HQ + 4 Regional offices),Indonesia (Jakarta only),Indonesia (Jakarta only),"Indonesia (Jakarta HQ + Regional offices: Surabaya, Medan, Makassar, Denpasar)",Indonesia (Jakarta + Surabaya),Indonesia (Jakarta only)
Application Type,TRUE,"E-commerce, Transactional",,,"Enterprise SSO, HR Management, Organizational Structure Management","Same as production","Same as production","Facility Management, Transportation Booking, GPS Tracking, Real-time Location","Same as production","Same as production"
Critical Collections (high availability needed),TRUE,"orders, payments, customers",,,"users, employees, oauth_clients, oauth_tokens, organizations, org_units (99.9% uptime needed)","users, employees","users, employees","transportation_bookings, meeting_bookings, vehicle_tracking, users, drivers (99.5% uptime needed)","All collections","All collections"
Backup Requirements,TRUE,"Daily backups, 30-day retention",,,"Daily automated backups, 7-year retention for compliance data, 30-day retention for operational data","Weekly backups, 30-day retention","No automated backups","Daily automated backups, 90-day retention for all data, 2-year retention for booking records","Weekly backups, 30-day retention","No automated backups"
,,,,,,,,,,
Sizing Calculation Summary (Estimated by Developer),,,,,,,,,,
Total Data Size (Year 1),FALSE,50 GB,,,2.5 GB,500 MB,100 MB,15 GB,3 GB,500 MB
Projected Data Size (Year 3),FALSE,73 GB,,,"4.9 GB (with 25% annual growth, org expansion, and increased usage)","750 MB (slower growth, limited usage)","150 MB (minimal growth)","25.4 GB (with 30% annual growth, business expansion, more vehicles/drivers, GPS data accumulation)","5 GB (moderate growth with testing)","750 MB (minimal growth)"
Indexes Size (estimated 20% of data),FALSE,10 GB,,,500 MB,100 MB,20 MB,3 GB,600 MB,100 MB
Working Set Size (frequently accessed),FALSE,15 GB,,,500 MB (20% of data),100 MB,50 MB,2.25 GB (15% of data),450 MB,75 MB
Recommended RAM (Working Set + Buffer),FALSE,24 GB,,,2 GB (sufficient for working set + query cache),512 MB,256 MB,4 GB (sufficient for working set + GPS query cache),1 GB,512 MB
Recommended Storage,FALSE,150 GB (with headroom),,,10 GB (with 50% headroom for growth and backups),2 GB,500 MB,50 GB (with 100% headroom for GPS data and future expansion),10 GB,2 GB
Recommended Cluster Tier (MongoDB Atlas),FALSE,M30,,,M10 (Shared for dev/staging | M10 for production with 2GB RAM),M0 Free Tier or M2,M0 Free Tier,M20 (Dedicated with 4GB RAM for production GPS workload),M10,M0 Free Tier or M2
,,,,,,,,,,
Notes and Assumptions,,,,,,,,,,
Note 1,,,,"Aksara SSO is an enterprise Single Sign-On system with comprehensive employee lifecycle management, organizational structure versioning, and multi-company support. Peak usage occurs during organizational restructuring and employee onboarding periods.",,,OFM (Office Facility Management) is a real-time transportation and meeting booking system with GPS tracking. Write-heavy workload due to continuous GPS updates from vehicles (every 30 seconds during trips). Peak usage during morning/evening commute hours.,,
Note 2,,,,"Employee count is based on IAS organization structure (~1,200 employees across 150+ organizational units). System supports multi-tenant architecture for parent company + subsidiaries.",,,GPS tracking generates high write volume: 40 vehicles x 2 trips/day x 8 hours x 120 GPS points/hour = ~77K GPS points/day. This is the primary driver of storage needs.,,
Note 3,,,,"Org structure versioning creates large documents (50KB each with Mermaid diagrams) but low frequency. Historical compliance requirement means indefinite retention for employee records and SK Penempatan (assignment decrees).",,,Meeting rooms and transportation bookings have seasonal peaks (conference seasons, year-end events). Facility requests (ATK supplies) are steady throughout the year with slight monthly spikes.,,
Note 4,,,,"Recommended M10 tier for production provides 2GB RAM which exceeds working set requirements. Shared clusters (M0/M2) acceptable for dev/staging due to low concurrent usage.",,,Recommended M20 tier for production provides 4GB RAM and dedicated infrastructure to handle GPS write bursts and concurrent user requests. Scaling to M30 may be needed if fleet expands beyond 50 vehicles.,,
Note 5,,,,"Data retention for compliance: Employee history and audit logs must be kept for 5+ years. OAuth tokens and session data can be purged after 90 days.",,,GPS tracking data archived after 6 months but kept accessible for route analysis. OBD-II data valuable for predictive maintenance analytics (1-year retention). Consider time-series collections for GPS data optimization.,,
